"","region","avgLength"
"838","021151",3489.11111111111
"839","021153",3580.85
"840","021155",3170.14285714286
"841","021157",3240.125
"842","021159",3131.73333333333
"843","021161",3451.4
"844","021163",3560.81818181818
"845","021165",3607.63636363636
"846","021167",3609.25
"847","021169",3202.55555555556
"848","021171",3356
"849","021173",3592.08333333333
"850","021175",3662.25
"851","021177",3581.8
"852","021179",3648.6
"853","021181",3684
"854","021183",3574.55555555556
"855","021185",3320.71428571429
"856","021187",3524.57142857143
"857","021189",3825.31578947368
"858","021191",3437.77777777778
"859","021193",3766.65
"860","021195",3468.36842105263
"861","021197",3739.66666666667
"862","021199",3613.375
"863","021201",3369.4
"864","021203",3443.69230769231
"865","021205",3755.4375
"866","021207",3455.125
"867","021209",3208.42857142857
"868","021211",3455.6
"869","021213",3262.4
"870","021215",3497.2
"871","021217",3278.44444444444
"872","021219",3321.83333333333
"873","02122",2753.625
"874","021221",3548.625
"875","021223",3633
"876","021225",3413.66666666667
"877","021227",3165.75
"878","021229",3560.91666666667
"879","021231",3639.125
"880","021233",3522.7
"881","021235",3504.57142857143
"882","021237",3768.09090909091
"883","021239",3491.11111111111
"884","02150",3395.4
"885","02164",3721
"886","02165",2861
"887","02170",3365.71428571429
"888","02180",3142
"889","02185",2307
"890","02188",2489
"891","02200",2318
"892","022001",2763.58333333333
"893","022003",2291.5
"894","022005",3402.92307692308
"895","022007",3850.76923076923
"896","022009",2664.4
"897","022011",2480.5
"898","022013",2537.09090909091
"899","022015",2590.5
"900","022017",2539.09090909091
"901","022019",2280.92307692308
"902","022021",2932
"903","022023",2717.7
"904","022025",2711.7
"905","022027",2881.91666666667
"906","022029",2406
"907","022031",2345.9
"908","022033",2762.92857142857
"909","022035",2298.33333333333
"910","022037",2912.90909090909
"911","022039",3012.11111111111
"912","022041",2391.2
"913","022043",2613.27272727273
"914","022045",3020
"915","022047",2716.61538461538
"916","022049",2475
"917","022051",3469.125
"918","022053",2321.38461538462
"919","022055",3053.8
"920","022057",3503
"921","022059",2839
"922","022061",2346.6
"923","022063",3023.26666666667
"924","022065",2566.71428571429
"925","022067",2098.2
"926","022069",2178.2
"927","022071",3209.36363636364
"928","022073",2657.78571428571
"929","022075",3316.45454545455
"930","022077",2695.41666666667
"931","022079",2376.71428571429
"932","022081",2121.14285714286
"933","022083",2833.22222222222
"934","022085",1873.7
"935","022087",3740.38461538462
"936","022089",3467.6875
"937","022091",3024.2
"938","022093",3555.33333333333
"939","022095",3612
"940","022097",2655.16666666667
"941","022099",2943.125
"942","022101",3130
"943","022103",3516.14285714286
"944","022105",3381.21428571429
"945","022107",2534.16666666667
"946","022109",3374.25
"947","022111",2617.2
"948","022113",2856.46153846154
"949","022115",2053.90909090909
"950","022117",3629.44444444444
"951","022119",2699.64285714286
"952","022121",2662.27272727273
"953","022123",2769.125
"954","022125",2943
"955","022127",2268.44444444444
"956","02240",3015.25
"957","022440",3879
"958","02261",3614
"959","02270",3239.25
"960","02290",3114.5
"961","023001",2254.45454545455
"962","023003",1991.5
"963","023005",2152.6
"964","023007",2426.22727272727
"965","023009",2030.07142857143
"966","023011",2485.8125
"967","023013",2317.5625
"968","023015",2250.17647058824
"969","023017",2350.26923076923
"970","023019",2112.69230769231
"971","023021",2284
"972","023023",2230.18181818182
"973","023025",2249.31578947368
"974","023027",2295.78571428571
"975","023029",2192.5
"976","023031",2126.24
"977","02365",3294
"978","02400",2011
"979","024001",2022.1
"980","024003",2227.61538461538
"981","024005",2025.41666666667
"982","024009",2260.07142857143
"983","024011",2209.92857142857
"984","024013",1862.33333333333
"985","024015",2114.84615384615
"986","024017",2289.625
"987","024019",2158.07692307692
"988","024021",2295.33333333333
"989","024023",2125
"990","024025",1999.25
"991","024027",1995.45454545455
"992","024029",2116.61538461538
"993","024031",2151.46153846154
"994","024033",2102.54545454545
"995","024035",2095.25
"996","024037",2290.33333333333
"997","024039",1840.625
"998","024041",2212.92307692308
"999","024043",1862.33333333333
"1000","024045",1800.5
"1001","024047",1620.14285714286
"1002","02430",3442.5
"1003","025001",2436
"1004","025003",1814.83333333333
"1005","025005",1874.4
"1006","025007",2449.45454545455
"1007","025009",2318.27272727273
"1008","025011",1814.83333333333
"1009","025013",1940.16666666667
"1010","025015",1814.83333333333
"1011","025017",2123.04761904762
"1012","025019",2283.7
"1013","025021",2276.28571428571
"1014","025023",2628
"1015","025025",2276.4
"1016","025027",2033.66666666667
"1017","02540",2210.66666666667
"1018","02595",1219
"1019","026001",1586.5
"1020","026003",1666
"1021","026005",2099.25
"1022","026007",1666
"1023","026009",1666
"1024","026011",2150
"1025","026013",2317.5
"1026","026015",2334.8
"1027","026017",2820.75
"1028","026019",1666
"1029","026021",2240.75
"1030","026023",2089.5
"1031","026025",1960
"1032","026027",2240.75
"1033","026029",1732
"1034","026031",1732
"1035","026033",1732
"1036","026035",2089.5
"1037","026037",2596.66666666667
"1038","026039",1586.5
"1039","026041",1732
"1040","026043",1666
"1041","026045",2373.6
"1042","026047",1666
"1043","026049",2282.66666666667
"1044","026051",2485.33333333333
"1045","026053",2144.33333333333
"1046","026055",1666
"1047","026057",2596.66666666667
"1048","026059",1960
"1049","026061",2144.33333333333
"1050","026063",2089.5
"1051","026065",2373.6
"1052","026067",2514.8
"1053","026069",1586.5
"1054","026071",2317.5
"1055","026073",2089.5
"1056","026075",2240.75
"1057","026077",1846.75
"1058","026079",1666
"1059","026081",2514.8
"1060","026083",1666
"1061","026085",2188.5
"1062","026087",2343.25
"1063","026089",1666
"1064","026091",1586.5
"1065","026093",2289.25
"1066","026095",1666
"1067","026097",1732
"1068","026099",2440
"1069","026101",2188.5
"1070","026103",1791.2
"1071","026105",2662.66666666667
"1072","026107",2240.75
"1073","026109",1666
"1074","026111",2557.33333333333
"1075","026113",2188.5
"1076","026115",1624.66666666667
"1077","026117",2596.66666666667
"1078","026119",1586.5
"1079","026121",2514.8
"1080","026123",2515.25
"1081","026125",2789.42857142857
"1082","026127",2261.33333333333
"1083","026129",1586.5
"1084","026131",2144.33333333333
"1085","026133",2099.25
"1086","026135",1586.5
"1087","026137",1586.5
"1088","026139",2547.5
"1089","026141",1666
"1090","026143",1666
"1091","026145",3032
"1092","026147",2530
"1093","026149",2240.75
"1094","026151",2737.25
"1095","026153",1732
"1096","026155",2766.75
"1097","026157",2557.33333333333
"1098","026159",2240.75
"1099","026161",2132.8
"1100","026163",2782.28571428571
"1101","026165",2188.5
"1102","0262",2287.5
"1103","02640",1241
"1104","02650",1497
"1105","02675",3563
"1106","02690",2048
"1107","027001",3839.28571428571
"1108","027003",3241.85714285714
"1109","027005",3433.4
"1110","027007",3173.22222222222
"1111","027009",3233
"1112","027011",2887.2
"1113","027013",3201.54545454545
"1114","027015",3243.77777777778
"1115","027017",3482
"1116","027019",3553
"1117","027021",3340.75
"1118","027023",3111.1
"1119","027025",2838
"1120","027027",3039.76470588235
"1121","027029",3217.11111111111
"1122","027031",2852.75
"1123","027033",2991.5
"1124","027035",2549.75
"1125","027037",3737.25
"1126","027039",3692.42857142857
"1127","027041",3121
"1128","027042",3850
"1129","027043",3282.81818181818
"1130","027045",3579.14285714286
"1131","027047",3396.09090909091
"1132","027049",3654.75
"1133","027051",3407.57142857143
"1134","027053",2929.625
"1135","027055",3780
"1136","027057",2971.28571428571
"1137","027059",3053.5
"1138","027061",3039.5
"1139","027063",2990.5
"1140","027065",3110
"1141","027067",3267.25
"1142","027069",3083
"1143","027071",3442.5
"1144","027073",2911.5
